week,type,away_team,away_score,home_team,home_score
1,Regular Season,Josh,96.4,Nate,179.52
1,Regular Season,Jack,143.3,Tanner,127.02
1,Regular Season,Shiv,119.58,Tim,117.3
1,Regular Season,Rohan,88.26,Nick,142.56
1,Regular Season,Kevin,129.18,Joey,127.66
2,Regular Season,Jack,148.06,Josh,166.96
2,Regular Season,Nate,127.68,Shiv,96.22
2,Regular Season,Tanner,152.7,Rohan,156.24
2,Regular Season,Tim,105.72,Kevin,112.42
2,Regular Season,Nick,147.7,Joey,110.0
3,Regular Season,Josh,104.12,Shiv,77.5
3,Regular Season,Rohan,123.14,Jack,121.58
3,Regular Season,Kevin,131.74,Nate,137.12
3,Regular Season,Joey,142.24,Tanner,127.24
3,Regular Season,Nick,148.54,Tim,114.52
4,Regular Season,Rohan,154.76,Josh,122.02
4,Regular Season,Shiv,169.82,Kevin,123.28
4,Regular Season,Jack,128.04,Joey,134.18
4,Regular Season,Nate,92.72,Nick,111.72
4,Regular Season,Tanner,135.82,Tim,106.56
5,Regular Season,Josh,122.3,Kevin,172.32
5,Regular Season,Joey,115.42,Rohan,152.64
5,Regular Season,Nick,139.36,Shiv,150.58
5,Regular Season,Tim,130.98,Jack,184.98
5,Regular Season,Tanner,125.96,Nate,132.38
6,Regular Season,Joey,117.5,Josh,119.72
6,Regular Season,Kevin,141.8,Nick,133.16
6,Regular Season,Rohan,100.98,Tim,119.52
6,Regular Season,Shiv,129.18,Tanner,129.4
6,Regular Season,Jack,143.48,Nate,179.4
7,Regular Season,Josh,137.96,Nick,86.24
7,Regular Season,Tim,122.94,Joey,121.64
7,Regular Season,Tanner,156.46,Kevin,114.82
7,Regular Season,Nate,131.38,Rohan,123.74
7,Regular Season,Jack,121.38,Shiv,79.84
8,Regular Season,Tim,100.02,Josh,153.36
8,Regular Season,Nick,83.16,Tanner,145.36
8,Regular Season,Joey,100.72,Nate,77.42
8,Regular Season,Kevin,116.12,Jack,136.76
8,Regular Season,Rohan,127.0,Shiv,77.9
9,Regular Season,Josh,139.96,Tanner,95.96
9,Regular Season,Nate,109.38,Tim,95.66
9,Regular Season,Jack,121.34,Nick,106.28
9,Regular Season,Shiv,78.66,Joey,94.38
9,Regular Season,Rohan,106.1,Kevin,99.54
10,Regular Season,Nate,134.94,Josh,113.24
10,Regular Season,Tanner,106.62,Jack,94.52
10,Regular Season,Tim,116.84,Shiv,132.64
10,Regular Season,Nick,84.82,Rohan,132.9
10,Regular Season,Joey,104.32,Kevin,95.5
11,Regular Season,Josh,133.76,Jack,118.82
11,Regular Season,Shiv,88.2,Nate,114.04
11,Regular Season,Rohan,108.28,Tanner,165.6
11,Regular Season,Kevin,139.18,Tim,122.12
11,Regular Season,Joey,118.08,Nick,101.56
12,Regular Season,Shiv,95.4,Josh,105.6
12,Regular Season,Jack,98.7,Rohan,118.84
12,Regular Season,Nate,125.3,Kevin,159.62
12,Regular Season,Tanner,104.58,Joey,88.86
12,Regular Season,Tim,85.04,Nick,98.22
13,Regular Season,Josh,146.3,Rohan,123.02
13,Regular Season,Kevin,129.68,Shiv,102.96
13,Regular Season,Joey,90.0,Jack,134.52
13,Regular Season,Nick,100.42,Nate,95.22
13,Regular Season,Tim,150.36,Tanner,129.2
14,Regular Season,Kevin,133.1,Josh,116.12
14,Regular Season,Rohan,127.32,Joey,123.4
14,Regular Season,Shiv,143.82,Nick,129.72
14,Regular Season,Jack,88.28,Tim,142.0
14,Regular Season,Nate,149.84,Tanner,192.74
