week,away_team,away_score,home_team,home_score
1,Josh,96.4,Nate,179.52
1,Jack,143.3,Tanner,127.02
1,Shiv,119.58,Tim,117.3
1,Rohan,88.26,Nick,142.56
1,Kevin,129.18,Joey,127.66
2,Jack,148.06,Josh,166.96
2,Nate,127.68,Shiv,96.22
2,Tanner,152.7,Rohan,156.24
2,Tim,105.72,Kevin,112.42
2,Nick,147.7,Joey,110.0
3,Josh,104.12,Shiv,77.5
3,Rohan,123.14,Jack,121.58
3,Kevin,131.74,Nate,137.12
3,Joey,142.24,Tanner,127.24
3,Nick,148.54,Tim,114.52
4,Rohan,154.76,Josh,122.02
4,Shiv,169.82,Kevin,123.28
4,Jack,128.04,Joey,134.18
4,Nate,92.72,Nick,111.72
4,Tanner,135.82,Tim,106.56
5,Josh,122.3,Kevin,172.32
5,Joey,115.42,Rohan,152.64
5,Nick,139.36,Shiv,150.58
5,Tim,130.98,Jack,184.98
5,Tanner,125.96,Nate,132.38
6,Joey,117.5,Josh,119.72
6,Kevin,141.8,Nick,133.16
6,Rohan,100.98,Tim,119.52
6,Shiv,129.18,Tanner,129.4
6,Jack,143.48,Nate,179.4
7,Josh,137.96,Nick,86.24
7,Tim,122.94,Joey,121.64
7,Tanner,156.46,Kevin,114.82
7,Nate,131.38,Rohan,123.74
7,Jack,121.38,Shiv,79.84
8,Tim,100.02,Josh,153.36
8,Nick,83.16,Tanner,145.36
8,Joey,100.72,Nate,77.42
8,Kevin,116.12,Jack,136.76
8,Rohan,127.0,Shiv,77.9
9,Josh,139.96,Tanner,95.96
9,Nate,109.38,Tim,95.66
9,Jack,121.34,Nick,106.28
9,Shiv,78.66,Joey,94.38
9,Rohan,106.1,Kevin,99.54
10,Nate,134.94,Josh,113.24
10,Tanner,106.62,Jack,94.52
10,Tim,116.84,Shiv,132.64
10,Nick,84.82,Rohan,132.9
10,Joey,104.32,Kevin,95.5
11,Josh,133.76,Jack,118.82
11,Shiv,88.2,Nate,114.04
11,Rohan,108.28,Tanner,165.6
11,Kevin,139.18,Tim,122.12
11,Joey,118.08,Nick,101.56
12,Shiv,95.4,Josh,105.6
12,Jack,98.7,Rohan,118.84
12,Nate,125.3,Kevin,159.62
12,Tanner,104.58,Joey,88.86
12,Tim,85.04,Nick,98.22
13,Josh,146.3,Rohan,123.02
13,Kevin,129.68,Shiv,102.96
13,Joey,90.0,Jack,134.52
13,Nick,100.42,Nate,95.22
13,Tim,150.36,Tanner,129.2
14,Kevin,133.1,Josh,116.12
14,Rohan,127.32,Joey,123.4
14,Shiv,143.82,Nick,129.72
14,Jack,88.28,Tim,142.0
14,Nate,149.84,Tanner,192.74
